Title, Year
"Lady for a Day", 1933
"Libeled Lady", 1936
"Gigi", 1958
"My Fair Lady", 1964
"To Kill a Mockingbird", 1962
"Witness for the Prosecution", 1957
"Inherit the Wind", 1960
"Trial", 1955
"A Free Soul", 1931
"Rashomon", 1950
"The Prisoner of Zenda", 1937
"The Thief of Bagdad", 1940
"America America", 1963
"Moulin Rouge", 1952
"The Red Shoes", 1948
"Kramer vs. Kramer", 1979
"Shane", 1953
"These Three", 1936
"Skippy", 1931
"The Bad Seed", 1956
"The Seventh Veil", 1945
"Monsieur Hulot's Holiday", 1953
"I Vitelloni", 1953
"The 400 Blows", 1959
"Splendor in the Grass", 1961
"The Candidate", 1972
"North by Northwest", 1959
"Jezebel", 1938
"A Streetcar Named Desire", 1951
"Who's Afraid of Virginia Woolf?", 1966
"Johnny Belinda", 1948
"Possessed", 1947
"Summer of '42", 1971
"Easter Parade", 1948
"Camelot", 1967
"Anchors Aweigh", 1945
"On the Town", 1949
"Oklahoma!", 1955
"The Champ", 1931
"The Fighter", 2010
"Raging Bull", 1980
"Somebody Up There Likes Me", 1956
"Cries and Whispers", 1972
"White Shadows in the South Seas", 1928
"The Naked City", 1948
"The Picture of Dorian Gray", 1945
"The Private Lives of Elizabeth and Essex", 1939
"Meet Me in St. Louis", 1944
"National Velvet", 1944
"Black Narcissus", 1947
"The Sin of Madelon Claudet", 1931
"BUtterfield 8", 1960
"Klute", 1971
"Primrose Path", 1940
"Anna Christie", 1930
"A Star Is Born", 1954
"The Sandpiper", 1965
"Dear Heart", 1964
"Swing Time", 1936
"The Umbrellas of Cherbourg", 1964
"The Tender Trap", 1955
"High Society", 1956
"Casablanca", 1942
"Marty", 1955
"Pillow Talk", 1959
"Now, Voyager", 1942
"Brief Encounter", 1945
"The Racket", 1928
"The Big House", 1930
"A Farewell to Arms", 1932
"The Barretts of Wimpole Street", 1934
"Mister Roberts", 1955
"The Yearling", 1946
"Around the World in 80 Days", 1956
"True Grit", 1969
"Cat Ballou", 1965
"Giant", 1956
"The Westerner", 1940
"A Midsummer Night's Dream", 1935
"Alice Adams", 1935
"Watch on the Rhine", 1943
"Top Hat", 1935
"The Adventures of Robin Hood", 1938
"Ben-Hur", 1959
"West Side Story", 1961
"Annie Hall", 1977
"Working Girl", 1988
"The Apartment", 1960
"Dog Day Afternoon", 1975
"Loves of a Blonde", 1966
"The Virgin Spring", 1960
"Kapo", 1959
"The Burmese Harp", 1956
"Babette's Feast", 1987
"Mon Oncle", 1958
"La Strada", 1954
"All the King's Men", 1949
"Mr. Smith Goes to Washington", 1939
"The Best Man", 1964
"Abe Lincoln in Illinois", 1940
"Sunrise at Campobello", 1960
"The Gorgeous Hussy", 1936
"Dr. Jekyll and Mr. Hyde", 1932
"Pygmalion", 1938
"Room at the Top", 1959
"Blackboard Jungle", 1955
"Father of the Bride", 1950
"Friendly Persuasion", 1956
"Hamlet", 1948
"Henry V", 1989
"Romeo and Juliet", 1937
"Julius Caesar", 1953
"Air Force", 1943
"Odd Man Out", 1947
"Z", 1969
"The Dirty Dozen", 1967
"The Great Escape", 1963
"Bullitt", 1968
"Rebel Without a Cause", 1955
"The Last Picture Show", 1971
"American Graffiti", 1973
"The Heart Is a Lonely Hunter", 1968
"The Human Comedy", 1943
"The Crowd", 1928
"The Divine Lady", 1929
"Stage Door", 1937
"Bad Day at Black Rock", 1955
"The Search", 1948
"The Thin Man", 1934
"The Treasure of the Sierra Madre", 1948
"Birdman of Alcatraz", 1962
"The Defiant Ones", 1958
"I Want to Live!", 1958
"Cool Hand Luke", 1967
"I Am a Fugitive from a Chain Gang", 1932
"Caged", 1950
"Gate of Hell", 1954
"Les Girls", 1957
"Adventures of Don Juan", 1948
"The Night of the Iguana", 1964
"Indiscretion of an American Wife", 1954
"8 1/2", 1963
"The Circus", 1928
"Born Yesterday", 1950
"Some Like It Hot", 1959
"My Favorite Year", 1982
"Ninotchka", 1939
"The Hollywood Revue of 1929", 1929
"A Tale of Two Cities", 1935
"Naughty Marietta", 1935
"The Maltese Falcon", 1941
"Ivanhoe", 1952
"Stagecoach", 1939
"Chariots of Fire", 1981
"Sergeant York", 1941
"An Officer and a Gentleman", 1982
"The Best Years of Our Lives", 1946
"The Story of G.I. Joe", 1945
"Battleground", 1949
"49th Parallel", 1941
"42nd Street", 1933
"Grand Hotel", 1932
"Cat on a Hot Tin Roof", 1958
"Guess Who's Coming to Dinner", 1967
"Driving Miss Daisy", 1989
"All the President's Men", 1976
"The China Syndrome", 1979
"Network", 1976
"Woman of the Year", 1942
"The Front Page", 1931
"The Battle of Midway", 1942
"Resisting Enemy Interrogation", 1944
"The Sea Around Us", 1952
"The Times of Harvey Milk", 1984
"Common Threads: Stories from the Quilt", 1989
"Harlan County, U.S.A.", 1976
"Freedom on My Mind", 1994
"When We Were Kings", 1996
"For All Mankind", 1989
"Suspicion", 1941
"Psycho", 1960
"Gaslight", 1944
"Wait Until Dark", 1967
"Night Must Fall", 1937
"Little Caesar", 1930
"Great Expectations", 1946
"Baby Doll", 1956
"Judgment at Nuremberg", 1961
"Elmer Gantry", 1960
"Lolita", 1962
"Yankee Doodle Dandy", 1942
"Cabaret", 1972
"Lili", 1953
"The Broadway Melody", 1929
"The Great Ziegfeld", 1936
"The Sunshine Boys", 1975
"Topper Returns", 1941
"The Gay Divorcee", 1934
"San Francisco", 1936
"Grand Prix", 1966
"The Great Race", 1965
"Going My Way", 1944
"Dead Man Walking", 1995
"On the Waterfront", 1954
"Boys Town", 1938
"The Nun's Story", 1959
"Speedy", 1928
"Romance", 1930
"The Informer", 1935
"Kitty Foyle", 1940
"Random Harvest", 1942
"The Southerner", 1945
"East of Eden", 1955
"Gandhi", 1982
"The Iron Lady", 2011
"Quo Vadis", 1951
"Conquest", 1937
"Juarez", 1939
"The Wonderful World of the Brothers Grimm", 1962
"What Ever Happened to Baby Jane?", 1962
"Raintree County", 1957
"Tess", 1979
"Life Is Beautiful", 1997
"On Golden Pond", 1981
"Fiddler on the Roof", 1971
"The Great Santini", 1979
"Life with Father", 1947
