Title, Year
"Irma la Douce", 1963
"Gambit", 1966
"The Trouble with Harry", 1955
"Terms of Endearment", 1983
"Sweet Charity", 1969
"Two for the Seesaw", 1962
"Some Came Running", 1958
"The Star", 1953
"Kansas Pacific", 1953
"Arrow in the Dust", 1954
"Suddenly", 1954
"The Golden Hawk", 1952
"Valerie", 1957
"Zero Hour!", 1957
"The Asphalt Jungle", 1950
"The Killing", 1956
"Crime Wave", 1954
"Five Steps to Danger", 1957
Dr. Strangelove or: How I Learned to Stop Worrying and Love
"Winter Kills", 1979
"A Carol for Another Christmas", 1964
"Holiday Affair", 1949
"Little Women", 1949
"Angels in the Outfield", 1951
"Two Tickets to Broadway", 1951
"Just This Once", 1952
"The Naked Spur", 1953
"Bye Bye Birdie", 1963
"Psycho", 1960
"Touch of Evil", 1958
"Act of Violence", 1949
"Pete Kelly's Blues", 1955
"Confidentially Connie", 1953
"Night of the Lepus", 1972
"Riding Shotgun", 1954
"Target Zero", 1955
"Run of the Arrow", 1957
"Guns for San Sebastian", 1968
"The Magnificent Seven", 1960
"The Great Escape", 1963
"Red Sun", 1971
"Hard Times", 1975
"Chato's Land", 1971
"Death Wish", 1974
"The Dirty Dozen", 1967
"Guns of Diablo", 1964
"The Barretts of Wimpole Street", 1957
"Madame Bovary", 1949
"We Were Strangers", 1949
"Portrait of Jennie", 1948
"Carrie", 1952
"Good Morning, Miss Dove", 1955
"Love Is a Many-Splendored Thing", 1955
"Cluny Brown", 1946
"The Song of Bernadette", 1945
"Love Letters", 1945
"A Farewell to Arms", 1957
"Penguin Pool Murder", 1932
"Murder on the Blackboard", 1934
"The Plot Thickens", 1936
"We're Only Human", 1935
"The Ex-Mrs. Bradford", 1936
"A Date with the Falcon", 1942
"Tanks a Million", 1941
"This Man's Navy", 1945
"The Hoodlum Saint", 1946
"The Dude Goes West", 1948
"Here Comes Mr. Jordan", 1941
"The Night of the Hunter", 1955
"Arsenic and Old Lace", 1944
"Murder on a Honeymoon", 1935
"Forty Naughty Girls", 1938
"Hot Tip", 1935
"Lady of the Tropics", 1939
"Boom Town", 1940
"Comrade X", 1940
"I Take This Woman", 1940
"The Heavenly Body", 1943
"The Conspirators", 1944
"The Strange Woman", 1946
"Samson and Delilah", 1949
"Algiers", 1938
"The Female Animal", 1958
"Her Highness and the Bellboy", 1945
"H.M. Pulham, Esq.", 1941
"The Doorway to Hell", 1930
"Lady Killer", 1933
"He Was Her Man", 1934
"The Strawberry Blonde", 1941
"The Bride Came C.O.D.", 1941
"Captains of the Clouds", 1942
"A Lion Is in the Streets", 1953
"Tribute to a Bad Man", 1956
"Love Me or Leave Me", 1955
"The Mayor of Hell", 1933
"City for Conquest", 1940
"'G' Men", 1935
"Blonde Crazy", 1931
"James Cagney: Top of the World", 1992
"John Loves Mary", 1949
"The Hasty Heart", 1950
"Bright Leaf", 1950
"The Breaking Point", 1950
"Raton Pass", 1951
"Psyche 59", 1964
"The Night Digger", 1971
"The Fountainhead", 1949
"Hud", 1963
"A Face in the Crowd", 1957
"The Subject Was Roses", 1968
"Washington Story", 1952
"Higher and Higher", 1943
"The Kissing Bandit", 1949
"Take Me Out to the Ball Game", 1949
"4 for Texas", 1963
"Ocean's Eleven", 1960
"High Society", 1956
"The Tender Trap", 1955
"Guys and Dolls", 1955
"The Man with the Golden Arm", 1956
"Robin and the 7 Hoods", 1964
"Anchors Aweigh", 1945
"Hotel Paradiso", 1966
"Go Naked in the World", 1961
"Never So Few", 1959
"Beat the Devil", 1953
"Solomon and Sheba", 1959
"Trapeze", 1956
"Buona Sera, Mrs. Campbell", 1968
"Come September", 1961
"Strange Bedfellows", 1965
"Woman of Straw", 1964
"The Hunchback of Notre Dame", 1956
"Fan-Fan the Tulip", 1952
"The Male Animal", 1942
"The Big Street", 1942
"Jezebel", 1938
"The Lady Eve", 1941
"A Big Hand for the Little Lady", 1966
"Spencer's Mountain", 1963
"The Wrong Man", 1956
"Fail Safe", 1964
"The Best Man", 1964
"Mister Roberts", 1955
"Firecreek", 1968
"The Rounders", 1965
"The Secret of My Success", 1965
"A Ticklish Affair", 1963
"The Cheyenne Social Club", 1970
"The Happy Ending", 1969
"The Courtship of Eddie's Father", 1963
"April Love", 1957
"Oklahoma!", 1955
"Carousel", 1956
"The Music Man", 1962
"Elmer Gantry", 1960
"Beyond the Poseidon Adventure", 1979
"Operation Crossbow", 1965
"A Dandy in Aspic", 1968
"Otley", 1969
"The Night of the Generals", 1967
"King Rat", 1965
"Doctor Zhivago", 1965
"Billy Liar", 1963
"The Loneliness of the Long Distance Runner", 1962
"The Dresser", 1983
"King & Country", 1964
"Private Potter", 1962
"Rain", 1932
"Sadie McKee", 1934
"Susan and God", 1940
"A Woman's Face", 1941
"Above Suspicion", 1943
"The Damned Don't Cry", 1950
"Goodbye, My Fancy", 1951
"Torch Song", 1953
"The Story of Esther Costello", 1957
"Harriet Craig", 1950
"Humoresque", 1946
"Possessed", 1947
"That's Entertainment!", 1974
"Sing, You Sinners", 1938
"On Your Toes", 1939
"Beau Geste", 1939
"Private Buckaroo", 1942
"The Milkman", 1950
"Double Crossbones", 1950
"I Love Melvin", 1953
"Singin' in the Rain", 1952
"Francis", 1950
"There's No Business Like Show Business", 1954
"That Funny Feeling", 1965
"Cry for Happy", 1961
"Steel Against the Sky", 1941
"The Smiling Ghost", 1941
"One Last Fling", 1949
"The Horn Blows at Midnight", 1945
"The Doughgirls", 1944
"The Woman in White", 1948
"Stallion Road", 1947
"Whiplash", 1948
"Any Number Can Play", 1949
"Conflict", 1945
"Night and Day", 1946
"San Antonio", 1945
"Gentleman Jim", 1942
"Out of the Past", 1947
"The Story of Three Loves", 1953
"Top Secret Affair", 1957
"Seven Days in May", 1964
"Paths of Glory", 1958
"Lust for Life", 1956
"Champion", 1949
"Detective Story", 1951
"Ace in the Hole", 1951
"The Heroes of Telemark", 1965
"Two Weeks in Another Town", 1962
"The Big Trees", 1952
"Stingaree", 1934
"The White Cliffs of Dover", 1944
"Penny Serenade", 1941
"The Awful Truth", 1937
"Theodora Goes Wild", 1936
"A Guy Named Joe", 1943
"Show Boat", 1936
"My Favorite Wife", 1940
"I Remember Mama", 1948
"Magnificent Obsession", 1935
"Love Affair", 1939
"Roberta", 1935
