Title, Year
"Lady of Burlesque", 1943
"The Mad Miss Manton", 1938
"Christmas in Connecticut", 1945
"The Gay Sisters", 1942
"B.F.'s Daughter", 1948
"My Reputation", 1946
"Secrets of an Actress", 1938
"Losing Ground", 1982
"Yentl", 1983
"Crossing Delancey", 1988
"Girlfriends", 1978
"Easter Parade", 1948
"On the Town", 1949
"Two Tickets to Broadway", 1951
"Small Town Girl", 1953
"Kiss Me Kate", 1953
"Hit the Deck", 1955
"The Great American Pastime", 1956
"Send Me No Flowers", 1964
Dr. Strangelove or: How I Learned to Stop Worrying and Love
"The Conversation", 1974
"Blood Simple", 1984
"The 39 Steps", 1935
"The Gay Falcon", 1942
"Angel Baby", 1961
"The Little Goldfish", 1939
"Can You Imagine?", 1936
"Color Scales", 1932
"Loose in London", 1953
"The Torn $500 Bill", 1931
"Hello How Am I", 1939
"Murder on the Blackboard", 1934
"College Hounds", 1930
"Swing Time", 1936
"A Raisin in the Sun", 1961
"Once a Thief", 1965
"Badlands", 1973
"The World, the Flesh and the Devil", 1959
"Bright Road", 1953
"Gun Crazy", 1950
"The Magnificent Seven", 1960
"Catlow", 1971
"A Fine Pair", 1969
"They Came to Rob Las Vegas", 1969
"Gun Crazy", 1950
"Pride and Prejudice", 1940
"Suspicion", 1941
"A Scandal in Paris", 1946
"Deathtrap", 1982
"Running on Empty", 1988
"Ordinary People", 1980
"Among Those Present", 1921
"Now or Never", 1921
"I Do", 1921
"An Angel at My Table", 1990
"The Metro-Goldwyn-Mayer Story", 1950
"Little Nellie Kelly", 1940
"Peg O' My Heart", 1933
"The Daughter of Rosie O'Grady", 1950
"The Irish in Us", 1935
"The Fighting 69th", 1940
"The Rising of the Moon", 1957
"Girl with Green Eyes", 1964
"Odd Man Out", 1947
"The Quiet Man", 1952
"Young Cassidy", 1965
"Finian's Rainbow", 1968
"Ryan's Daughter", 1970
"Faithful in My Fashion", 1946
"But the Flesh Is Weak", 1932
"Hitting a New High", 1937
"In Caliente", 1935
"Lonely Wives", 1932
"The Great Garrick", 1937
"Roar of the Dragon", 1932
"Going Highbrow", 1935
"Shall We Dance", 1937
"Vivacious Lady", 1938
"In the Heat of the Night", 1967
"What Ever Happened to Baby Jane?", 1962
"The Opposite Sex", 1956
"Night Nurse", 1931
"Stage Struck", 1958
"Stage Fright", 1950
"Nancy Goes to Rio", 1950
"Merton of the Movies", 1947
"Movie Crazy", 1932
"What Price Hollywood?", 1932
"The Actress", 1953
"Stage Door", 1937
"Double Indemnity", 1944
"Sorry, Wrong Number", 1948
"No Man of Her Own", 1950
"Witness to Murder", 1954
"Cry Wolf", 1947
"Jeopardy", 1953
"The Man with a Cloak", 1951
"Clash by Night", 1952
"The Two Mrs. Carrolls", 1947
"The Strange Love of Martha Ivers", 1946
"Crime of Passion", 1957
"Catlow", 1971
"The Double Man", 1967
"Westworld", 1973
"By Design: The Joe Caroff Story", 2022
"West Side Story", 1961
"Gandhi", 1982
"MGM Parade Show #24", 1955
"Mad Love", 1935
"Mystery of the Wax Museum", 1933
"Dr. Jekyll and Mr. Hyde", 1932
"Bedlam", 1946
"Possessed", 1947
"Dead Ringer", 1964
"What Ever Happened to Baby Jane?", 1962
"Eyes Without a Face", 1959
"Move Over, Darling", 1963
"Some Like It Hot", 1959
"The Wrong Man", 1956
"What's Up, Doc?", 1972
"My Favorite Wife", 1940
"The Philadelphia Story", 1940
"MGM Parade Show #24", 1955
"The Milky Way", 1940
"Desert Regatta", 1932
"23 -- Skidoo", 1930
"Spy Chasers", 1955
"When the Lights Went Out", 1931
"It's the Natural Thing to Do", 1939
"Murder on a Honeymoon", 1935
"Double Exposure", 1935
"Brigadoon", 1954
"On the Waterfront", 1954
"A King in New York", 1957
"Adam's Rib", 1949
"Angels in the Outfield", 1951
"Clash by Night", 1952
"To Sir, with Love", 1967
"The Corn Is Green", 1945
"Out of the Blue", 1947
"Clash by Night", 1952
"Lured", 1947
"Kind Lady", 1935
"Fanny", 1961
"Guess Who's Coming to Dinner", 1967
"It Started with Eve", 1941
"Nice Girl?", 1941
"Behind the Door", 1919
"Closely Watched Trains", 1967
"Capricious Summer", 1968
"Hullabaloo", 1940
"The Helen Morgan Story", 1957
"The Star", 1953
"The Clown", 1953
"Ziegfeld Girl", 1941
"The Entertainer", 1960
"Limelight", 1952
"New York, New York", 1977
"Victor/Victoria", 1982
"A Star Is Born", 1976
"Fame", 1980
"MGM Parade Show #24", 1955
"Penelope", 1966
"Penelope Featurette", 1966
"Critic's Choice", 1963
"Hotel", 1967
"36 Hours", 1964
"The Life and Times of Judge Roy Bean", 1972
"The Man Who Would Be King", 1975
"Dogfight", 1991
"True Love", 1989
"The Damned", 1969
"Spring Fever", 1927
"Spring Is Here", 1930
"Springfield Rifle", 1952
"The Saint in Palm Springs", 1941
"Palm Springs Weekend", 1963
"Spring Madness", 1938
"Rose Marie", 1954
"Presenting Lily Mars", 1943
"Blossoms in the Dust", 1941
"All I Desire", 1953
"There's Always Tomorrow", 1956
"Executive Suite", 1954
"East Side, West Side", 1949
"These Wilder Years", 1956
"To Please a Lady", 1950
"Annie Oakley", 1935
"The Moonlighter", 1953
"Trooper Hook", 1957
"Black Panthers", 1968
"Hot Pepper", 1973
"Harlan County, U.S.A.", 1976
"Salesman", 1969
"Grey Gardens", 1976
"The Queen", 1968
"The Thomas Crown Affair", 1968
"Gambit", 1966
"The Asphalt Jungle", 1950
"5 Against the House", 1955
"They Came to Rob Las Vegas", 1969
"The Rise of Catherine the Great", 1934
"The Sea Hawk", 1940
"Saratoga Trunk", 1945
"Caesar and Cleopatra", 1945
"Great Day", 1945
"Black Narcissus", 1947
"Murder at the Gallop", 1963
"The Gay Divorcee", 1934
"Tom Jones", 1963
"A Stolen Life", 1946
"The Importance of Being Earnest", 1952
"Love Crazy", 1941
"This Could Be the Night", 1957
"The Homeless Flea", 1940
"Famous Boners", 1942
"The Eyes Have It", 1931
"Fighting Trouble", 1956
"The Third Degree", 1931
"Never Sock a Baby", 1939
"Murder on a Bridle Path", 1936
"The Flag of Humanity", 1940
"The Young Girls of Rochefort", 1967
"49th Parallel", 1941
"The Bribe", 1949
"The Verdict", 1946
"Hot Millions", 1968
"Count the Hours!", 1953
"She", 1965
"Tarzan and the Amazons", 1945
"Grand Hotel", 1932
"Dinner at Eight", 1933
"Count the Hours!", 1953
"That Hamilton Woman", 1941
"To Have and Have Not", 1944
"Watch on the Rhine", 1943
"A Night to Remember", 1958
"12 Angry Men", 1957
"The Lady in Question", 1940
"It", 1927
"Lady Snowblood", 1973
"Lone Wolf and Cub: Sword of Vengeance", 1972
"Kept Husbands", 1931
"Mary Stevens, M.D.", 1933
"42nd Street", 1933
"Picture Snatcher", 1933
"Marked Woman", 1937
"Footsteps in the Dark", 1941
"Larceny, Inc.", 1942
"Action in the North Atlantic", 1943
"American Graffiti", 1973
"The Spikes Gang", 1974
"The Courtship of Eddie's Father", 1963
"The Music Man", 1962
"Five Minutes to Live", 1961
